NEW_DATASET_IMG_FILENAME -> ORIGINAL_SUNRGBD_IMG_PATH
1.png -> /SUNRGBD/kv1/NYUdata/NYU0315
2.png -> /SUNRGBD/kv1/NYUdata/NYU0817
3.png -> /SUNRGBD/kv1/NYUdata/NYU0536
4.png -> /SUNRGBD/kv1/NYUdata/NYU0753
5.png -> /SUNRGBD/kv1/NYUdata/NYU0834
6.png -> /SUNRGBD/kv1/NYUdata/NYU1167
7.png -> /SUNRGBD/kv1/NYUdata/NYU0927
8.png -> /SUNRGBD/kv1/NYUdata/NYU1132
9.png -> /SUNRGBD/kv1/NYUdata/NYU1154
10.png -> /SUNRGBD/kv1/NYUdata/NYU0499
11.png -> /SUNRGBD/kv1/NYUdata/NYU0280
12.png -> /SUNRGBD/kv1/NYUdata/NYU0949
13.png -> /SUNRGBD/kv1/NYUdata/NYU0658
14.png -> /SUNRGBD/kv1/NYUdata/NYU1008
15.png -> /SUNRGBD/kv1/NYUdata/NYU0886
16.png -> /SUNRGBD/kv1/NYUdata/NYU0625
17.png -> /SUNRGBD/kv1/NYUdata/NYU0498
18.png -> /SUNRGBD/kv1/NYUdata/NYU1102
19.png -> /SUNRGBD/kv1/NYUdata/NYU0672
20.png -> /SUNRGBD/kv1/NYUdata/NYU0203
21.png -> /SUNRGBD/kv1/NYUdata/NYU0780
22.png -> /SUNRGBD/kv1/NYUdata/NYU0829
23.png -> /SUNRGBD/kv1/NYUdata/NYU0725
24.png -> /SUNRGBD/kv1/NYUdata/NYU0719
25.png -> /SUNRGBD/kv1/NYUdata/NYU0045
26.png -> /SUNRGBD/kv1/NYUdata/NYU1118
27.png -> /SUNRGBD/kv1/NYUdata/NYU0056
28.png -> /SUNRGBD/kv1/NYUdata/NYU0859
29.png -> /SUNRGBD/kv1/NYUdata/NYU0307
30.png -> /SUNRGBD/kv1/NYUdata/NYU0821
31.png -> /SUNRGBD/kv1/NYUdata/NYU0503
32.png -> /SUNRGBD/kv1/NYUdata/NYU0411
33.png -> /SUNRGBD/kv1/NYUdata/NYU0019
34.png -> /SUNRGBD/kv1/NYUdata/NYU0743
35.png -> /SUNRGBD/kv1/NYUdata/NYU0937
36.png -> /SUNRGBD/kv1/NYUdata/NYU0218
37.png -> /SUNRGBD/kv1/NYUdata/NYU0825
38.png -> /SUNRGBD/kv1/NYUdata/NYU0534
39.png -> /SUNRGBD/kv1/NYUdata/NYU1115
40.png -> /SUNRGBD/kv1/NYUdata/NYU0215
41.png -> /SUNRGBD/kv1/NYUdata/NYU1108
42.png -> /SUNRGBD/kv1/NYUdata/NYU0795
43.png -> /SUNRGBD/kv1/NYUdata/NYU0170
44.png -> /SUNRGBD/kv1/NYUdata/NYU0252
45.png -> /SUNRGBD/kv1/NYUdata/NYU0909
46.png -> /SUNRGBD/kv1/NYUdata/NYU0612
47.png -> /SUNRGBD/kv1/NYUdata/NYU0684
48.png -> /SUNRGBD/kv1/NYUdata/NYU0789
49.png -> /SUNRGBD/kv1/NYUdata/NYU0730
50.png -> /SUNRGBD/kv1/NYUdata/NYU0611
51.png -> /SUNRGBD/kv1/NYUdata/NYU1180
52.png -> /SUNRGBD/kv1/NYUdata/NYU0564
53.png -> /SUNRGBD/kv1/NYUdata/NYU0145
54.png -> /SUNRGBD/kv1/NYUdata/NYU0033
55.png -> /SUNRGBD/kv1/NYUdata/NYU0654
56.png -> /SUNRGBD/kv1/NYUdata/NYU0200
57.png -> /SUNRGBD/kv1/NYUdata/NYU0709
58.png -> /SUNRGBD/kv1/NYUdata/NYU0659
59.png -> /SUNRGBD/kv1/NYUdata/NYU0528
60.png -> /SUNRGBD/kv1/NYUdata/NYU1196
61.png -> /SUNRGBD/kv1/NYUdata/NYU0971
62.png -> /SUNRGBD/kv1/NYUdata/NYU0917
63.png -> /SUNRGBD/kv1/NYUdata/NYU1179
64.png -> /SUNRGBD/kv1/NYUdata/NYU0818
65.png -> /SUNRGBD/kv1/NYUdata/NYU1059
66.png -> /SUNRGBD/kv1/NYUdata/NYU0809
67.png -> /SUNRGBD/kv1/NYUdata/NYU0965
68.png -> /SUNRGBD/kv1/NYUdata/NYU0529
69.png -> /SUNRGBD/kv1/NYUdata/NYU0872
70.png -> /SUNRGBD/kv1/NYUdata/NYU0192
71.png -> /SUNRGBD/kv1/NYUdata/NYU0836
72.png -> /SUNRGBD/kv1/NYUdata/NYU1172
73.png -> /SUNRGBD/kv1/NYUdata/NYU1010
74.png -> /SUNRGBD/kv1/NYUdata/NYU0696
75.png -> /SUNRGBD/kv1/NYUdata/NYU0627
76.png -> /SUNRGBD/kv1/NYUdata/NYU0327
77.png -> /SUNRGBD/kv1/NYUdata/NYU0936
78.png -> /SUNRGBD/kv1/NYUdata/NYU0712
79.png -> /SUNRGBD/kv1/NYUdata/NYU1152
80.png -> /SUNRGBD/kv1/NYUdata/NYU0845
81.png -> /SUNRGBD/kv1/NYUdata/NYU0077
82.png -> /SUNRGBD/kv1/NYUdata/NYU0043
83.png -> /SUNRGBD/kv1/NYUdata/NYU0806
84.png -> /SUNRGBD/kv1/NYUdata/NYU1043
85.png -> /SUNRGBD/kv1/NYUdata/NYU0129
86.png -> /SUNRGBD/kv1/NYUdata/NYU0527
87.png -> /SUNRGBD/kv1/NYUdata/NYU1096
88.png -> /SUNRGBD/kv1/NYUdata/NYU0194
89.png -> /SUNRGBD/kv1/NYUdata/NYU0837
90.png -> /SUNRGBD/kv1/NYUdata/NYU0781
91.png -> /SUNRGBD/kv1/NYUdata/NYU0671
92.png -> /SUNRGBD/kv1/NYUdata/NYU1191
93.png -> /SUNRGBD/kv1/NYUdata/NYU0758
94.png -> /SUNRGBD/kv1/NYUdata/NYU0508
95.png -> /SUNRGBD/kv1/NYUdata/NYU0321
96.png -> /SUNRGBD/kv1/NYUdata/NYU0221
97.png -> /SUNRGBD/kv1/NYUdata/NYU1200
98.png -> /SUNRGBD/kv1/NYUdata/NYU0950
99.png -> /SUNRGBD/kv1/NYUdata/NYU0854
100.png -> /SUNRGBD/kv1/NYUdata/NYU0206
101.png -> /SUNRGBD/kv1/NYUdata/NYU0199
102.png -> /SUNRGBD/kv1/NYUdata/NYU0701
103.png -> /SUNRGBD/kv1/NYUdata/NYU1166
104.png -> /SUNRGBD/kv1/NYUdata/NYU0609
105.png -> /SUNRGBD/kv1/NYUdata/NYU0953
106.png -> /SUNRGBD/kv1/NYUdata/NYU0748
107.png -> /SUNRGBD/kv1/NYUdata/NYU0841
108.png -> /SUNRGBD/kv1/NYUdata/NYU0214
109.png -> /SUNRGBD/kv1/NYUdata/NYU1176
110.png -> /SUNRGBD/kv1/NYUdata/NYU1133
111.png -> /SUNRGBD/kv1/NYUdata/NYU1026
112.png -> /SUNRGBD/kv1/NYUdata/NYU0991
113.png -> /SUNRGBD/kv1/NYUdata/NYU0506
114.png -> /SUNRGBD/kv1/NYUdata/NYU0006
115.png -> /SUNRGBD/kv1/NYUdata/NYU0848
116.png -> /SUNRGBD/kv1/NYUdata/NYU0706
117.png -> /SUNRGBD/kv1/NYUdata/NYU1147
118.png -> /SUNRGBD/kv1/NYUdata/NYU0828
119.png -> /SUNRGBD/kv1/NYUdata/NYU0747
120.png -> /SUNRGBD/kv1/NYUdata/NYU0664
121.png -> /SUNRGBD/kv1/NYUdata/NYU1004
122.png -> /SUNRGBD/kv1/NYUdata/NYU0300
123.png -> /SUNRGBD/kv1/NYUdata/NYU0517
124.png -> /SUNRGBD/kv1/NYUdata/NYU0918
125.png -> /SUNRGBD/kv1/NYUdata/NYU0222
126.png -> /SUNRGBD/kv1/NYUdata/NYU0021
127.png -> /SUNRGBD/kv1/NYUdata/NYU1014
128.png -> /SUNRGBD/kv1/NYUdata/NYU0962
129.png -> /SUNRGBD/kv1/NYUdata/NYU1195
130.png -> /SUNRGBD/kv1/NYUdata/NYU1184
131.png -> /SUNRGBD/kv1/NYUdata/NYU0754
132.png -> /SUNRGBD/kv1/NYUdata/NYU1055
133.png -> /SUNRGBD/kv1/NYUdata/NYU0524
134.png -> /SUNRGBD/kv1/NYUdata/NYU0309
135.png -> /SUNRGBD/kv1/NYUdata/NYU0868
136.png -> /SUNRGBD/kv1/NYUdata/NYU1076
137.png -> /SUNRGBD/kv1/NYUdata/NYU0319
138.png -> /SUNRGBD/kv1/NYUdata/NYU0673
139.png -> /SUNRGBD/kv1/NYUdata/NYU0616
140.png -> /SUNRGBD/kv1/NYUdata/NYU0988
141.png -> /SUNRGBD/kv1/NYUdata/NYU0985
142.png -> /SUNRGBD/kv1/NYUdata/NYU0720
143.png -> /SUNRGBD/kv1/NYUdata/NYU0955
144.png -> /SUNRGBD/kv1/NYUdata/NYU1126
145.png -> /SUNRGBD/kv1/NYUdata/NYU1033
146.png -> /SUNRGBD/kv1/NYUdata/NYU0907
147.png -> /SUNRGBD/kv1/NYUdata/NYU0975
148.png -> /SUNRGBD/kv1/NYUdata/NYU0196
149.png -> /SUNRGBD/kv1/NYUdata/NYU0042
150.png -> /SUNRGBD/kv1/NYUdata/NYU0742
151.png -> /SUNRGBD/kv1/NYUdata/NYU0533
152.png -> /SUNRGBD/kv1/NYUdata/NYU0067
153.png -> /SUNRGBD/kv1/NYUdata/NYU0678
154.png -> /SUNRGBD/kv1/NYUdata/NYU0815
155.png -> /SUNRGBD/kv1/NYUdata/NYU0940
156.png -> /SUNRGBD/kv1/NYUdata/NYU0884
157.png -> /SUNRGBD/kv1/NYUdata/NYU1138
158.png -> /SUNRGBD/kv1/NYUdata/NYU0960
159.png -> /SUNRGBD/kv1/NYUdata/NYU0313
160.png -> /SUNRGBD/kv1/NYUdata/NYU0512
161.png -> /SUNRGBD/kv1/NYUdata/NYU1148
162.png -> /SUNRGBD/kv1/NYUdata/NYU0715
163.png -> /SUNRGBD/kv1/NYUdata/NYU0543
164.png -> /SUNRGBD/kv1/NYUdata/NYU0541
165.png -> /SUNRGBD/kv1/NYUdata/NYU0253
166.png -> /SUNRGBD/kv1/NYUdata/NYU0775
167.png -> /SUNRGBD/kv1/NYUdata/NYU0951
168.png -> /SUNRGBD/kv1/NYUdata/NYU0521
169.png -> /SUNRGBD/kv1/NYUdata/NYU0750
170.png -> /SUNRGBD/kv1/NYUdata/NYU1081
171.png -> /SUNRGBD/kv1/NYUdata/NYU0796
172.png -> /SUNRGBD/kv1/NYUdata/NYU1134
173.png -> /SUNRGBD/kv1/NYUdata/NYU0887
174.png -> /SUNRGBD/kv1/NYUdata/NYU0623
175.png -> /SUNRGBD/kv1/NYUdata/NYU1130
176.png -> /SUNRGBD/kv1/NYUdata/NYU0992
177.png -> /SUNRGBD/kv1/NYUdata/NYU1141
178.png -> /SUNRGBD/kv1/NYUdata/NYU1119
179.png -> /SUNRGBD/kv1/NYUdata/NYU0022
180.png -> /SUNRGBD/kv1/NYUdata/NYU0897
181.png -> /SUNRGBD/kv1/NYUdata/NYU1190
182.png -> /SUNRGBD/kv1/NYUdata/NYU0332
183.png -> /SUNRGBD/kv1/NYUdata/NYU0788
184.png -> /SUNRGBD/kv1/NYUdata/NYU0057
185.png -> /SUNRGBD/kv1/NYUdata/NYU0075
186.png -> /SUNRGBD/kv1/NYUdata/NYU0624
187.png -> /SUNRGBD/kv1/NYUdata/NYU1058
188.png -> /SUNRGBD/kv1/NYUdata/NYU1095
189.png -> /SUNRGBD/kv1/NYUdata/NYU0693
190.png -> /SUNRGBD/kv1/NYUdata/NYU0197
191.png -> /SUNRGBD/kv1/NYUdata/NYU0562
192.png -> /SUNRGBD/kv1/NYUdata/NYU1165
193.png -> /SUNRGBD/kv1/NYUdata/NYU0832
194.png -> /SUNRGBD/kv1/NYUdata/NYU0760
195.png -> /SUNRGBD/kv1/NYUdata/NYU0685
196.png -> /SUNRGBD/kv1/NYUdata/NYU0617
197.png -> /SUNRGBD/kv1/NYUdata/NYU0040
198.png -> /SUNRGBD/kv1/NYUdata/NYU0501
199.png -> /SUNRGBD/kv1/NYUdata/NYU0929
200.png -> /SUNRGBD/kv1/NYUdata/NYU0324
201.png -> /SUNRGBD/kv1/NYUdata/NYU0036
202.png -> /SUNRGBD/kv1/NYUdata/NYU0011
203.png -> /SUNRGBD/kv1/NYUdata/NYU0032
204.png -> /SUNRGBD/kv1/NYUdata/NYU0063
205.png -> /SUNRGBD/kv1/NYUdata/NYU0982
206.png -> /SUNRGBD/kv1/NYUdata/NYU0681
207.png -> /SUNRGBD/kv1/NYUdata/NYU1082
208.png -> /SUNRGBD/kv1/NYUdata/NYU0186
209.png -> /SUNRGBD/kv1/NYUdata/NYU0726
210.png -> /SUNRGBD/kv1/NYUdata/NYU0870
211.png -> /SUNRGBD/kv1/NYUdata/NYU0866
212.png -> /SUNRGBD/kv1/NYUdata/NYU0250
213.png -> /SUNRGBD/kv1/NYUdata/NYU0910
214.png -> /SUNRGBD/kv1/NYUdata/NYU0520
215.png -> /SUNRGBD/kv1/NYUdata/NYU1093
216.png -> /SUNRGBD/kv1/NYUdata/NYU0863
217.png -> /SUNRGBD/kv1/NYUdata/NYU0824
218.png -> /SUNRGBD/kv1/NYUdata/NYU0305
219.png -> /SUNRGBD/kv1/NYUdata/NYU0342
220.png -> /SUNRGBD/kv1/NYUdata/NYU0746
221.png -> /SUNRGBD/kv1/NYUdata/NYU1090
222.png -> /SUNRGBD/kv1/NYUdata/NYU1064
223.png -> /SUNRGBD/kv1/NYUdata/NYU0179
224.png -> /SUNRGBD/kv1/NYUdata/NYU0632
225.png -> /SUNRGBD/kv1/NYUdata/NYU1016
226.png -> /SUNRGBD/kv1/NYUdata/NYU0999
227.png -> /SUNRGBD/kv1/NYUdata/NYU0193
228.png -> /SUNRGBD/kv1/NYUdata/NYU1142
229.png -> /SUNRGBD/kv1/NYUdata/NYU0029
230.png -> /SUNRGBD/kv1/NYUdata/NYU0692
231.png -> /SUNRGBD/kv1/NYUdata/NYU0497
232.png -> /SUNRGBD/kv1/NYUdata/NYU0708
233.png -> /SUNRGBD/kv1/NYUdata/NYU0899
234.png -> /SUNRGBD/kv1/NYUdata/NYU0851
235.png -> /SUNRGBD/kv1/NYUdata/NYU1168
236.png -> /SUNRGBD/kv1/NYUdata/NYU1120
237.png -> /SUNRGBD/kv1/NYUdata/NYU0191
238.png -> /SUNRGBD/kv1/NYUdata/NYU1193
239.png -> /SUNRGBD/kv1/NYUdata/NYU0913
240.png -> /SUNRGBD/kv1/NYUdata/NYU0016
241.png -> /SUNRGBD/kv1/NYUdata/NYU0414
242.png -> /SUNRGBD/kv1/NYUdata/NYU1032
